STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,LON,LAT
30156,Sedgwick (Loop-bound),Sedgwick,40800,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"(41.910409, -87.639302)",-87.639302,41.910409
30017,Sheridan (95th-bound),Sheridan,40080,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.953775, -87.654929)",-87.654929,41.953775
30016,Sheridan (Howard-bound),Sheridan,40080,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.953775, -87.654929)",-87.654929,41.953775
30293,Sheridan (Howard-Linden-bound),Sheridan,40080,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.953775, -87.654929)",-87.654929,41.953775
30294,Sheridan (Loop-bound),Sheridan,40080,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.953775, -87.654929)",-87.654929,41.953775
30070,Southport (Kimball-bound),Southport,40360,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.943744, -87.663619)",-87.663619,41.943744
30071,Southport (Loop-bound),Southport,40360,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.943744, -87.663619)",-87.663619,41.943744
30036,Sox-35th (Howard-bound),Sox-35th,40190,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.831191, -87.630636)",-87.630636,41.831191
30037,Sox-35th (95th-bound),Sox-35th,40190,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.831191, -87.630636)",-87.630636,41.831191
30051,State/Lake (Outer Loop),State/Lake,40260,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.88574, -87.627835)",-87.627835,41.88574
30050,State/Lake (Inner Loop),State/Lake,40260,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"(41.88574, -87.627835)",-87.627835,41.88574
